,type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason,need discution
119,FP_different,Ashley_Lloyd,label,Ashley Luke Lloyd,Ashley Lloyd,"Ashley Lloyd (billed as Ashley Luke Lloyd) (born 6 July 1991) is a British actor and dancer, who has performed in hit musical theatre shows such as Billy Elliot the Musical and Whistle Down the Wind. In 2012 Lloyd appeared in the new musical Loserville at the Garrick Theatre in London. Lloyd appeared in the Original London Cast of Dreamgirls at The Savoy Theatre and is now appearing in Saturday Night Fever at The Peacock Theatre in London. Fans of Hollyoaks might recognise Lloyd from the hit TV show playing Troy.",TRUE,FALSE,LCE,
0,FN,Audu_Bako,birthYear,,1924,Audu Bako (1924–1980) was a Nigerian police officer and the first Governor of Kano State during the military regime of General Yakubu Gowon after the state was formed from part of Northern Region.,TRUE,TRUE,,
256,FP_new,Audu_Bako,deathYear,1980,,Audu Bako (1924–1980) was a Nigerian police officer and the first Governor of Kano State during the military regime of General Yakubu Gowon after the state was formed from part of Northern Region.,TRUE,TRUE,,
554,FP_different,Azumi_Asakura,birthName,Azumi Yamamoto Azumi,Azumi Yamamoto,"Azumi Yamamoto (山本 杏美, Yamamoto Azumi, born February 15, 1987), also known as Azumi Asakura (浅倉 杏美, Asakura Azumi), is a Japanese voice actress affiliated with Arts Vision.",FALSE,FALSE,GLS,
252,FN,Azumi_Asakura,birthName,,Azumi Yamamoto,"Azumi Yamamoto (山本 杏美, Yamamoto Azumi, born February 15, 1987), also known as Azumi Asakura (浅倉 杏美, Asakura Azumi), is a Japanese voice actress affiliated with Arts Vision.",TRUE,TRUE,,
374,FP_new,Balzhan_Bultrikova,birthName,Balzhan Böltırıkova,,"Balzhan Bultrikova (Kazakh: Балжан Бөлтірікова; Baljan Böltırıkova, 15 November 1921 – 14 May 1998) was a Soviet and Kazakh teacher and politician who helped establish the diplomatic corps in the Kazakh Soviet Socialist Republic. She was the first woman to serve as Minister of Foreign Affairs and first Kazakh diplomat to participate in the General Assembly of the United Nations. She was honored with numerous medals and awards, including the Order of the Badge of Honour and the Order of the Red Banner of Labour.",TRUE,TRUE,,
648,FP_new,Barbara_Kasten,birthYear,1936,,Barbara Kasten (born 1936) is an American artist from Chicago Illinois. Her work involves the use of abstract video and photograph projections.,TRUE,TRUE,,
352,FP_new,Basiliscus,birthDate,0476-01-09,,"Basiliscus (Greek: Βασιλίσκος, Basilískos; died 476/477) was Eastern Roman emperor from 9 January 475 to August 476. He became magister militum per Thracias in 464, under his brother-in-law, Emperor Leo (r. 457–474). Basiliscus commanded the army for an invasion of the Vandal Kingdom in 468, which was defeated at the Battle of Cape Bon. There were accusations at the time that Basiliscus was bribed by Aspar, the magister militum; many historians dismiss this, instead concluding that Basiliscus was either incompetent or foolish for accepting Vandal King Gaiseric's offer of a truce, which the latter used to construct fireships. Basiliscus's defeat cost the Eastern Empire 130,000 pounds (59,000 kg) of gold, causing the empire to hover above bankruptcy for 30 years. When Basiliscus returned to ",FALSE,FALSE,WV,
621,FP_new,Basiliscus,birthYear,476,,"Basiliscus (Greek: Βασιλίσκος, Basilískos; died 476/477) was Eastern Roman emperor from 9 January 475 to August 476. He became magister militum per Thracias in 464, under his brother-in-law, Emperor Leo (r. 457–474). Basiliscus commanded the army for an invasion of the Vandal Kingdom in 468, which was defeated at the Battle of Cape Bon. There were accusations at the time that Basiliscus was bribed by Aspar, the magister militum; many historians dismiss this, instead concluding that Basiliscus was either incompetent or foolish for accepting Vandal King Gaiseric's offer of a truce, which the latter used to construct fireships. Basiliscus's defeat cost the Eastern Empire 130,000 pounds (59,000 kg) of gold, causing the empire to hover above bankruptcy for 30 years. When Basiliscus returned to ",TRUE,FALSE,WV,
150,FP_new,Basiliscus,deathYear,476,,"Basiliscus (Greek: Βασιλίσκος, Basilískos; died 476/477) was Eastern Roman emperor from 9 January 475 to August 476. He became magister militum per Thracias in 464, under his brother-in-law, Emperor Leo (r. 457–474). Basiliscus commanded the army for an invasion of the Vandal Kingdom in 468, which was defeated at the Battle of Cape Bon. There were accusations at the time that Basiliscus was bribed by Aspar, the magister militum; many historians dismiss this, instead concluding that Basiliscus was either incompetent or foolish for accepting Vandal King Gaiseric's offer of a truce, which the latter used to construct fireships. Basiliscus's defeat cost the Eastern Empire 130,000 pounds (59,000 kg) of gold, causing the empire to hover above bankruptcy for 30 years. When Basiliscus returned to ",TRUE,TRUE,,
151,FP_new,Basiliscus,deathYear,477,,"Basiliscus (Greek: Βασιλίσκος, Basilískos; died 476/477) was Eastern Roman emperor from 9 January 475 to August 476. He became magister militum per Thracias in 464, under his brother-in-law, Emperor Leo (r. 457–474). Basiliscus commanded the army for an invasion of the Vandal Kingdom in 468, which was defeated at the Battle of Cape Bon. There were accusations at the time that Basiliscus was bribed by Aspar, the magister militum; many historians dismiss this, instead concluding that Basiliscus was either incompetent or foolish for accepting Vandal King Gaiseric's offer of a truce, which the latter used to construct fireships. Basiliscus's defeat cost the Eastern Empire 130,000 pounds (59,000 kg) of gold, causing the empire to hover above bankruptcy for 30 years. When Basiliscus returned to ",TRUE,TRUE,,
708,FP_new,Benedetta_Cibrario,birthYear,1962,,Benedetta Cibrario (born 1962 in Florence) is an Italian writer. She was the recipient of the Rapallo Carige Prize for Sotto cieli noncuranti in 2010.,TRUE,TRUE,,
1132,FN,Benedykt_Kraskowski,birthYear,,1904,"Benedykt Kraskowski (1904, Biała Podlaska, Poland – 1944), was a Polish ""Righteous Among the Nations"" of German descent, with Jews he employed in his carpentry workshop. Kraskowski, who lived in Biala Podlaska, hid Jews and procured forged identity documents for them. For those in hiding who wished to join the partisans, he provided money and food. Kraskowski was killed by Ukrainian nationalists in 1944. On December 16, 1986, for saving Jews, he was posthumously recognized as a Righteous among the Nations by Yad Vashem, the highest honor given to a non-Jew.",TRUE,TRUE,,
124,FP_new,Benedykt_Kraskowski,deathDate,1944-12-16,,"Benedykt Kraskowski (1904, Biała Podlaska, Poland – 1944), was a Polish ""Righteous Among the Nations"" of German descent, with Jews he employed in his carpentry workshop. Kraskowski, who lived in Biala Podlaska, hid Jews and procured forged identity documents for them. For those in hiding who wished to join the partisans, he provided money and food. Kraskowski was killed by Ukrainian nationalists in 1944. On December 16, 1986, for saving Jews, he was posthumously recognized as a Righteous among the Nations by Yad Vashem, the highest honor given to a non-Jew.",FALSE,FALSE,AC,
437,FP_new,Benedykt_Kraskowski,deathYear,1944,,"Benedykt Kraskowski (1904, Biała Podlaska, Poland – 1944), was a Polish ""Righteous Among the Nations"" of German descent, with Jews he employed in his carpentry workshop. Kraskowski, who lived in Biala Podlaska, hid Jews and procured forged identity documents for them. For those in hiding who wished to join the partisans, he provided money and food. Kraskowski was killed by Ukrainian nationalists in 1944. On December 16, 1986, for saving Jews, he was posthumously recognized as a Righteous among the Nations by Yad Vashem, the highest honor given to a non-Jew.",TRUE,TRUE,,
705,FP_new,Benjamin_F%2E_Deming,birthName,Benjamin F.Deming,,"Benjamin F. Deming (August 12, 1790 – July 11, 1834) was an American merchant and politician. He served as a U.S. Representative from Vermont.",FALSE,TRUE,,
149,FP_new,Bernadeta_Bocek-Piotrowska,birthName,Bernadeta Maria Bocek-Piotrowska,,"Bernadeta Maria Bocek-Piotrowska (born March 11, 1970 in Istebna) is a Polish former cross-country skier who competed in the early 1990s. In the Olympics she was competing in 5, 15 and 30 km races, the 5 + 10 km pursuit and the 4 × 5 km relays. She took part in the 1992 Winter Olympics in Albertville with her best result being a 10th rank in women's 4 × 5 km relay. She finished eighth in the 4 × 5 km relay at the 1994 Winter Olympics in Lillehammer. In 1993 she was seventh in the 30 km race during world championships in Falun. In the 1998 Winter Olympics in Nagano the 4 × 5 km relay team became 13th, which was her best result in this games.",TRUE,TRUE,,
390,FN,Beverly_L%2E_Clarke,birthName,,Beverly Leonidas Clarke,"Beverly Leonidas Clarke (February 11, 1809 – March 17, 1860) was a U.S. Representative from Kentucky. He was known for his ""sterling integrity, gentlemanly manners, and polished oratory.""",TRUE,TRUE,,
380,FN,Bill_Schmidt,birthDate,,1947-12-29,"Bill Schmidt (born December 29, 1947) is a retired male American javelin thrower from the Pittsburgh suburb of Southview, Pennsylvania. He is the son of Helen and Louis Schmidt, and won the bronze medal at the 1972 Summer Olympics. His dad was born in Germany and came to the United States at the age of 7. His dad was a coal miner for 29 years and marched with John L Lewis, the UMW organizer and President. Bill is the youngest of seven children, six boys and one girl. He has an identical twin named Bob Schmidt. In 2013 Schmidt was inducted into the Greater Knoxville Sports Hall of Fame.",TRUE,TRUE,,
866,FN,Bill_Schmidt,birthYear,,1947,"Bill Schmidt (born December 29, 1947) is a retired male American javelin thrower from the Pittsburgh suburb of Southview, Pennsylvania. He is the son of Helen and Louis Schmidt, and won the bronze medal at the 1972 Summer Olympics. His dad was born in Germany and came to the United States at the age of 7. His dad was a coal miner for 29 years and marched with John L Lewis, the UMW organizer and President. Bill is the youngest of seven children, six boys and one girl. He has an identical twin named Bob Schmidt. In 2013 Schmidt was inducted into the Greater Knoxville Sports Hall of Fame.",TRUE,TRUE,,
354,FN,Bj%C3%B8rn_Alterhaug,birthDate,,1945-06-03,"Bjørn Alterhaug (born 3 June 1945) is a Norwegian jazz bassist, arranger, composer and professor of music.",TRUE,TRUE,,
355,FN,Bj%C3%B8rn_Alterhaug,birthYear,,1945,"Bjørn Alterhaug (born 3 June 1945) is a Norwegian jazz bassist, arranger, composer and professor of music.",TRUE,TRUE,,
2095,FP_new,Bob_Goen,label,Bob Kuehl Goen,,"Robert Kuehl Goen (born December 1, 1954) is an American game show emcee and television personality, best known for his work on Entertainment Tonight between 1993 and 2004 and as the fourth and final host of the daytime Wheel of Fortune from 1989 to 1991.",TRUE,FALSE,LCE,
2096,FP_new,Bob_Goen,label,Bob Goen,,"Robert Kuehl Goen (born December 1, 1954) is an American game show emcee and television personality, best known for his work on Entertainment Tonight between 1993 and 2004 and as the fourth and final host of the daytime Wheel of Fortune from 1989 to 1991.",TRUE,TRUE,,
1258,FP_new,Bob_Peak,birthName,Robert M.Peak,,"Robert M. Peak (May 30, 1927 – August 1, 1992) was an American commercial illustrator. He is best known for his developments in the design of the modern film poster. His artwork has been on the cover of Time magazine, TV Guide, and Sports Illustrated. He also illustrated advertisements and U.S. postage stamps.",FALSE,TRUE,,
2066,FP_different,Bojan_Krki%C4%87,label,Bojan Krkić Pérez,Bojan Krkić,"Bojan Krkić Pérez (Spanish pronunciation: [ˈboʝaŋ ˈkiɾkitʃ ˈpeɾeθ]; Serbian Cyrillic: Бојан Кркић Перез, pronounced [bǒjan kr̩̂kitɕ pěrez]; born 28 August 1990), also known as simply Bojan, is a Spanish footballer who plays as a forward for J1 League club Vissel Kobe. Roma did not exercise their option of an additional €28 million to sign Bojan definitively, and so Barcelona re-signed him for €13 million. He spent the 2013–14 season on loan at Dutch club Ajax with whom he helped win the Eredivisie title. In July 2014, Bojan joined English club Stoke City for €1.8 million.",TRUE,FALSE,LCE,
30,FN,Bonnie_Bassler,birthName,,Bonnie Lynn Bassler,"Bonnie Lynn Bassler (born 1962) is an American molecular biologist; the Squibb Professor in Molecular Biology and chair of the Department of Molecular Biology at Princeton University; and a Howard Hughes Medical Institute Investigator. She has researched cell-to-cell chemical communication in bacteria and discovered key insights into the mechanism by which bacteria communicate, known as quorum sensing. She has contributed to the idea that disruption of chemical signaling can be used as an antimicrobial therapy.",TRUE,TRUE,,
233,FP_new,Bonnie_Bassler,birthYear,1962,,"Bonnie Lynn Bassler (born 1962) is an American molecular biologist; the Squibb Professor in Molecular Biology and chair of the Department of Molecular Biology at Princeton University; and a Howard Hughes Medical Institute Investigator. She has researched cell-to-cell chemical communication in bacteria and discovered key insights into the mechanism by which bacteria communicate, known as quorum sensing. She has contributed to the idea that disruption of chemical signaling can be used as an antimicrobial therapy.",TRUE,TRUE,,
727,FP_new,Brian_Baumgartner,birthName,Brian Baumgartner,,"Brian Baumgartner (born November 29, 1972) is an American actor. He is best known for playing Kevin Malone, a character in the NBC sitcom The Office (2005–2013).",TRUE,TRUE,,
179,FP_new,Brian_Patrick_Regan,birthDate,1962-10-23,,"Brian Patrick Regan (born October 23, 1962, in New York City, New York) is a former master sergeant in the United States Air Force who was convicted of offering to sell secret information to foreign governments.",TRUE,TRUE,,
250,FP_new,Brian_Patrick_Regan,birthName,Brian Patrick Regan,,"Brian Patrick Regan (born October 23, 1962, in New York City, New York) is a former master sergeant in the United States Air Force who was convicted of offering to sell secret information to foreign governments.",TRUE,TRUE,,
63,FP_new,Brian_Patrick_Regan,birthYear,1962,,"Brian Patrick Regan (born October 23, 1962, in New York City, New York) is a former master sergeant in the United States Air Force who was convicted of offering to sell secret information to foreign governments.",TRUE,TRUE,,
339,FP_new,Catharine_Carter_Critcher,label,Catharine Carter Critcher,,"Catharine (sometimes Catherine) Carter Critcher (September 13, 1868 – June 11, 1964) was an American painter. A native of Westmoreland County, Virginia, she worked in Paris and Washington, D.C. before becoming, in 1924, a member of the Taos Society of Artists, the only woman ever elected to that body. She was a long time member of the Arts Club of Washington.",TRUE,FALSE,,
64,FP_new,Charles_J%2E_Pedersen,birthName,Charles John Pedersen,,"Charles John Pedersen (Japanese: 安井 良男, October 3, 1904 – October 26, 1989) was an American organic chemist best known for describing methods of synthesizing crown ethers during his entire 42-year career as a chemist for DuPont at DuPont Experimental Station in Wilmington, Delaware and at DuPont's Jackson Laboratory in Deepwater, New Jersey. Often associated with Reed McNeil Izatt, Pedersen also shared the Nobel Prize in Chemistry in 1987 with Donald J. Cram and Jean-Marie Lehn. He is the only Nobel Prize laureate born in Korea other than Peace Prize laureate Kim Dae-jung.",TRUE,TRUE,,
22,FP_new,Charles_W%2E_Henderson,birthName,Charles William Henderson,,"Charles William Henderson (born August 26, 1948) is a retired Marine Corps Warrant Officer and an author based in Colorado. Henderson is best known for his 2 biographies, Marine Sniper: 93 Confirmed Kills and Silent Warrior about Marine Corps Sniper Carlos Hathcock.",TRUE,TRUE,,
81,FP_new,Chris_Gheysens,birthName,Chris Gheysens,,"Chris Gheysens (born March 31, 1971) is an American businessman who serves as the President and Chief Executive Officer of Wawa Inc., a privately held chain of convenience store and gas stations with over 900 locations along the East Coast of the United States.",TRUE,TRUE,,
15,FN,Clara_Maniu,birthName,,Clara Coroianu,"Clara Maniu (born Clara Coroianu; 10 January 1842 – 29 July 1929) was a Romanian feminist and suffragist. She was the president of the Romanian women's movement organisation Reuniunea Femeilor Române Sălăjene (R.F.R.S) from 1881 to 1897. She was born in 1842 in Nagyderzsida, Kingdom of Hungary (now Bobota, in Sălaj County, Romania). Her father, Demetriu Coroianu, was a Greek-Catholic priest, while her mother, Iuliana Pop, was the granddaughter of protopope Grigorie Pop from Craidorolț.",TRUE,TRUE,,
157,FP_new,Cliff_Wilson,label,Cliff Wilson,,"Clifford Wilson (10 May 1934 – 21 May 1994) was a Welsh professional snooker player who reached the highest ranking of 16, in 1988-89. He was the 1978 World Amateur Champion and won the 1991 World Seniors Championship. He was a successful junior player, known for his fast attacking snooker and potting ability, and won the British Under-19 Championship in 1951 and 1952. In the early 1950s both Wilson and future six-times World Professional Champion Ray Reardon lived in Tredegar, where they played a succession of money matches that attracted large enthusiastic crowds.",TRUE,TRUE,,
148,FP_new,Concha_Michel,birthName,Concha Michel,,"Concha Michel (1899–1990) was a singer-songwriter, political activist, playwright, and a researcher who published several projects on the culture of indigenous communities. She was one of the few women who performed in the corrido style. She created the Institute of Folklore in Michoacan and was one of the first collectors of folklore and preservers of the traditions of the Mexican people. She was a cultural icon having relationships with two presidents, and a broad range of Mexico's most prominent artists including Diego Rivera, Frida Kahlo, Guadalupe Marín, Tina Modotti, Elena Poniatowska, Anita Brenner and others.",TRUE,TRUE,,
80,FN,Cyril_Herbert_Williams,birthYear,,1908,Cyril Herbert Williams CMG OBE (1908-1983) was Provincial Commissioner of the Nyanza Province of Kenya (1951–56).,TRUE,TRUE,,
427,FN,Cyril_Herbert_Williams,deathYear,,1983,Cyril Herbert Williams CMG OBE (1908-1983) was Provincial Commissioner of the Nyanza Province of Kenya (1951–56).,TRUE,TRUE,,
102,FN,Cyril_Herbert_Williams,label,,Cyril Herbert Williams,Cyril Herbert Williams CMG OBE (1908-1983) was Provincial Commissioner of the Nyanza Province of Kenya (1951–56).,TRUE,TRUE,,
103,FN,Damian_Sims,birthDate,,1986-03-26,"Damian Sims (born March 26, 1986) is a former professional Canadian football running back. He was signed by the BC Lions of the Canadian Football League as a street free agent in 2009. He played college football for the Iowa Hawkeyes. His uncle is fellow BC Lion, Korey Banks.",TRUE,TRUE,,
661,FN,Damian_Sims,birthYear,,1986,"Damian Sims (born March 26, 1986) is a former professional Canadian football running back. He was signed by the BC Lions of the Canadian Football League as a street free agent in 2009. He played college football for the Iowa Hawkeyes. His uncle is fellow BC Lion, Korey Banks.",TRUE,TRUE,,
330,FP_different,Daniel_Noriega,label,Daniel Noriega Acosta,Daniel Noriega,Daniel Noriega Acosta (born 30 March 1977 in Puerto Ordaz) is a retired Venezuelan football striker who made a total number of 38 appearances (five goals) for the Venezuela national team between 1996 and 2005.,TRUE,FALSE,LCE,
