,pattern_id,nb,s_valid,label,birthDate,birthYear,deathYear,alias,birthName,deathDate
49,motif49,0,1,1,1,1,1,1,0,0
50,motif50,0,0,0,1,0,1,0,1,0
51,motif51,0,0,1,0,0,0,1,0,1
52,motif52,0,0,0,1,1,1,1,0,0
53,motif53,0,0,1,0,0,0,0,1,1
54,motif54,3,1,1,0,1,1,0,1,0
55,motif55,0,0,0,1,1,1,1,1,0
56,motif56,0,0,0,0,1,1,1,1,1
57,motif57,0,0,0,0,0,1,1,0,1
58,motif58,0,0,0,1,1,0,1,1,0
59,motif59,0,0,0,1,1,0,0,1,1
60,motif60,0,0,0,1,0,0,0,1,0
61,motif61,0,0,0,1,0,1,0,0,1
62,motif62,0,0,0,0,0,0,0,0,0
63,motif63,0,0,0,0,1,0,1,0,0
64,motif64,13,1,1,0,1,1,0,0,1
65,motif65,0,0,0,1,1,1,1,0,1
66,motif66,10,1,1,1,1,0,1,0,0
67,motif67,0,1,1,1,0,1,0,0,1
68,motif68,0,0,0,1,1,1,0,1,1
69,motif69,0,0,0,0,1,1,1,0,0
70,motif70,0,0,0,1,1,0,1,0,1
71,motif71,1,1,1,1,1,0,1,1,0
72,motif72,0,1,1,1,1,0,0,1,1
73,motif73,0,0,0,0,0,1,1,1,1
74,motif74,0,0,0,0,1,0,0,0,0
75,motif75,0,0,0,1,0,0,0,0,1
76,motif76,0,0,0,0,1,0,1,1,0
77,motif77,1,1,1,0,1,0,1,0,0
78,motif78,0,0,0,1,0,0,1,1,0
79,motif79,0,1,1,0,1,1,1,1,1
80,motif80,0,0,0,0,0,0,1,0,0
81,motif81,0,0,0,1,0,1,0,0,0
82,motif82,0,0,0,0,0,1,1,0,0
83,motif83,0,1,1,0,1,1,1,1,0
84,motif84,0,0,0,0,0,0,1,1,0
85,motif85,1,1,1,0,1,1,0,1,1
86,motif86,0,0,0,1,1,0,0,0,0
87,motif87,0,0,0,0,1,1,0,1,1
88,motif88,0,1,1,1,1,1,1,1,0
89,motif89,0,0,0,1,1,1,1,1,1
90,motif90,0,0,0,1,0,0,1,0,1
91,motif91,0,0,0,0,1,0,0,1,1
92,motif92,0,1,1,1,0,0,0,0,0
93,motif93,0,0,0,1,0,0,0,1,1
94,motif94,276,1,1,1,1,1,0,0,1
95,motif95,0,0,0,1,0,0,1,0,0
96,motif96,0,1,1,0,1,0,0,1,1
97,motif97,0,1,1,0,1,1,1,0,1
98,motif98,0,0,0,0,0,0,1,0,1
99,motif99,0,1,1,1,0,0,1,1,1
100,motif100,0,0,0,0,1,1,1,0,1
101,motif101,0,0,0,0,0,0,0,1,1
102,motif102,33,1,1,1,1,0,0,1,0
103,motif103,0,1,1,1,0,0,1,1,0
104,motif104,2,1,1,1,1,1,1,0,1
105,motif105,0,0,1,0,0,0,1,1,1
106,motif106,0,0,0,0,1,1,0,1,0
107,motif107,0,0,1,0,0,1,1,0,0
108,motif108,0,0,0,1,0,1,1,1,0
109,motif109,0,1,1,1,0,0,1,0,0
110,motif110,0,0,0,1,0,1,0,1,1
111,motif111,3,1,1,0,1,0,0,1,0
112,motif112,0,1,1,1,1,0,0,0,1
113,motif113,0,0,0,0,0,1,0,1,0
114,motif114,0,1,1,1,1,0,1,1,1
115,motif115,0,1,1,1,0,0,1,0,1
116,motif116,0,0,0,0,1,1,0,0,1
117,motif117,0,1,1,1,0,1,0,1,0
118,motif118,0,0,0,1,1,0,1,0,0
119,motif119,0,0,1,0,0,0,0,0,0
120,motif120,0,0,0,1,0,1,1,0,1
121,motif121,5,1,1,1,1,1,0,0,0
122,motif122,0,1,1,0,1,0,0,0,1
123,motif123,0,0,0,0,0,0,0,0,1
124,motif124,0,0,0,0,0,1,0,0,1
125,motif125,0,0,1,0,0,0,0,1,0
126,motif126,50,1,1,0,1,1,0,0,0
