,type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason,need discution,
216,FN,Ahmad_al-Tijani,birthYear,,1735,"Abū al-ʻAbbās Ahmad ibn Muhammad at-Tijāniyy or Ahmed Tijani (Arabic: أحمد التجاني, 1735–1815), was an Algerian Sharif who founded the Tijaniyyah tariqa (Sufi order).",TRUE,TRUE,,,
217,FN,Ahmad_al-Tijani,deathYear,,1815,"Abū al-ʻAbbās Ahmad ibn Muhammad at-Tijāniyy or Ahmed Tijani (Arabic: أحمد التجاني, 1735–1815), was an Algerian Sharif who founded the Tijaniyyah tariqa (Sufi order).",TRUE,TRUE,,,
215,FP_new,Ahmad_al-Tijani,label,Ahmad Tijani,,"Abū al-ʻAbbās Ahmad ibn Muhammad at-Tijāniyy or Ahmed Tijani (Arabic: أحمد التجاني, 1735–1815), was an Algerian Sharif who founded the Tijaniyyah tariqa (Sufi order).",TRUE,FALSE,ICE,,
2528,FP_new,Ahmad_al-Tijani,label,Ahmad al-Tijani,,"Abū al-ʻAbbās Ahmad ibn Muhammad at-Tijāniyy or Ahmed Tijani (Arabic: أحمد التجاني, 1735–1815), was an Algerian Sharif who founded the Tijaniyyah tariqa (Sufi order).",FALSE,TRUE,,,
698,FP_new,Ahmad_Hamcho,label,Ahmad Saber Hamcho,,"Ahmad Saber Hamcho (Arabic: أحمد صابر حمشو; born 25 November 1992) is a Syrian equestrian who competed in individual jumping at the 2012 Summer Olympics. He was the first Syrian to participate in Olympic equestrian events. In December 2019, he qualified for the 2020 Summer Olympics in Tokyo.",TRUE,FALSE,LCE,,
1909,FP_new,Ahmad_Hamcho,label,Ahmad Hamcho,,"Ahmad Saber Hamcho (Arabic: أحمد صابر حمشو; born 25 November 1992) is a Syrian equestrian who competed in individual jumping at the 2012 Summer Olympics. He was the first Syrian to participate in Olympic equestrian events. In December 2019, he qualified for the 2020 Summer Olympics in Tokyo.",TRUE,TRUE,,,
495,FP_new,Ahmed_Bahnini,birthDate,1909-09-09,,"Ahmed Bahnini (Arabic: أحمد بحنيني; 1909, Fes – 10 July 1971, Rabat) was a Moroccan politician who served as the 4th Prime Ministers of Morocco from 1963 to 1965 under King Hassan II. He also served as President of the Supreme Court. On July 10, 1971, during a celebration of Hassan II's birthday in Skhirat palace, Bahnini was shot dead when mutinying soldiers fired into a crowd of guests during a bloody and unsuccessful military coup attempt.",FALSE,FALSE,AC,,
1176,FP_new,Ahmed_Bahnini,birthDate,1909-07-09,,"Ahmed Bahnini (Arabic: أحمد بحنيني; 1909, Fes – 10 July 1971, Rabat) was a Moroccan politician who served as the 4th Prime Ministers of Morocco from 1963 to 1965 under King Hassan II. He also served as President of the Supreme Court. On July 10, 1971, during a celebration of Hassan II's birthday in Skhirat palace, Bahnini was shot dead when mutinying soldiers fired into a crowd of guests during a bloody and unsuccessful military coup attempt.",FALSE,FALSE,AC,,
1175,FP_new,Ahmed_Bahnini,birthName,Ahmed Bahnini,,"Ahmed Bahnini (Arabic: أحمد بحنيني; 1909, Fes – 10 July 1971, Rabat) was a Moroccan politician who served as the 4th Prime Ministers of Morocco from 1963 to 1965 under King Hassan II. He also served as President of the Supreme Court. On July 10, 1971, during a celebration of Hassan II's birthday in Skhirat palace, Bahnini was shot dead when mutinying soldiers fired into a crowd of guests during a bloody and unsuccessful military coup attempt.",TRUE,TRUE,,,
496,FP_new,Ahmed_Bahnini,birthYear,1909,,"Ahmed Bahnini (Arabic: أحمد بحنيني; 1909, Fes – 10 July 1971, Rabat) was a Moroccan politician who served as the 4th Prime Ministers of Morocco from 1963 to 1965 under King Hassan II. He also served as President of the Supreme Court. On July 10, 1971, during a celebration of Hassan II's birthday in Skhirat palace, Bahnini was shot dead when mutinying soldiers fired into a crowd of guests during a bloody and unsuccessful military coup attempt.",TRUE,TRUE,,,
938,FN,Aikaterini_Laskaridou,birthYear,,1842,Aikaterini Laskaridou (1842 – 1916) was a Greek feminist and educator who created the kindergarten system in Greece and introduced physical exercise into the girls' schools.,TRUE,TRUE,,,
939,FN,Aikaterini_Laskaridou,deathYear,,1916,Aikaterini Laskaridou (1842 – 1916) was a Greek feminist and educator who created the kindergarten system in Greece and introduced physical exercise into the girls' schools.,TRUE,TRUE,,,
426,FP_new,Al_Francis_Bichara,birthName,Al Francis C.Bichara,,"Al Francis C. Bichara (born September 17, 1952) is a Filipino politician and former provincial governor of Albay in the Bicol Region of the Philippines from 1995 to 2004 and again from 2016 to 2022. A civil engineer by profession, Bichara's political career began when he served as mayor of Ligao City from 1986 to 1992. In 1992, Bichara was elected to the House of Representatives, representing the 3rd District of Albay. After one term in the House, Bichara was elected governor of Albay in 1995. He was re-elected as governor in 1998 and 2001.",FALSE,TRUE,,,
265,FP_new,Al_Rio,birthDate,1962-05-19,,"Álvaro Araújo Lourenço do Rio (19 May 1962 – 31 January 2012) – known professionally as Al Rio – was a Brazilian comic book artist, best known for his ""good girl"" illustration work, particularly on the American comic book series Gen¹³ and DV8, published by Wildstorm Comics.",TRUE,TRUE,,,
264,FP_new,Al_Rio,birthName,Álvaro Araújo Lourenço do Rio,,"Álvaro Araújo Lourenço do Rio (19 May 1962 – 31 January 2012) – known professionally as Al Rio – was a Brazilian comic book artist, best known for his ""good girl"" illustration work, particularly on the American comic book series Gen¹³ and DV8, published by Wildstorm Comics.",TRUE,TRUE,,,
267,FP_new,Al_Rio,birthYear,1962,,"Álvaro Araújo Lourenço do Rio (19 May 1962 – 31 January 2012) – known professionally as Al Rio – was a Brazilian comic book artist, best known for his ""good girl"" illustration work, particularly on the American comic book series Gen¹³ and DV8, published by Wildstorm Comics.",TRUE,TRUE,,,
266,FP_new,Al_Rio,deathDate,2012-01-31,,"Álvaro Araújo Lourenço do Rio (19 May 1962 – 31 January 2012) – known professionally as Al Rio – was a Brazilian comic book artist, best known for his ""good girl"" illustration work, particularly on the American comic book series Gen¹³ and DV8, published by Wildstorm Comics.",TRUE,TRUE,,,
268,FP_new,Al_Rio,deathYear,2012,,"Álvaro Araújo Lourenço do Rio (19 May 1962 – 31 January 2012) – known professionally as Al Rio – was a Brazilian comic book artist, best known for his ""good girl"" illustration work, particularly on the American comic book series Gen¹³ and DV8, published by Wildstorm Comics.",TRUE,TRUE,,,
263,FN,Al_Rio,label,,Al Rio,"Álvaro Araújo Lourenço do Rio (19 May 1962 – 31 January 2012) – known professionally as Al Rio – was a Brazilian comic book artist, best known for his ""good girl"" illustration work, particularly on the American comic book series Gen¹³ and DV8, published by Wildstorm Comics.",TRUE,TRUE,,,
1950,FN,Alan_Billings,birthName,,Alan Roy Billings,Alan Roy Billings (born 7 October 1942) is an Anglican priest and Labour politician who is currently the South Yorkshire Police and Crime Commissioner.,TRUE,TRUE,,,
4690,FN,Alan_Ferguson,birthName,,Alan Baird Ferguson,"Alan Baird Ferguson AM (born 16 September 1943) is a former Australian politician who was a Liberal member of the Australian Senate representing South Australia from May 1992 to June 2011. He served as the 22nd President of the Australian Senate from August 2007 to August 2008. For eight years until his election as President of the Senate in 2007, Ferguson chaired the influential Joint Standing Committee on Foreign Affairs, Defence and Trade in the Australian Parliament. Ferguson decided not to run again in the 2010 election, and his final term ended on 30 June 2011.",TRUE,TRUE,,,
172,FP_new,Alan_Watts,birthName,Alan Wilson Watts,,"Alan Wilson Watts (6 January 1915 – 16 November 1973) was an English writer, speaker and self-styled ""philosophical entertainer"", known for interpreting and popularising Japanese, Chinese and Indian traditions of Buddhist, Taoist, and Hindu philosophy for a Western audience. Born in Chislehurst, England, he moved to the United States in 1938 and began Zen training in New York. He received a master's degree in theology from Seabury-Western Theological Seminary and became an Episcopal priest in 1945. He left the ministry in 1950 and moved to California, where he joined the faculty of the American Academy of Asian Studies.",TRUE,TRUE,,,
526,FN,Alec_Finn,label,,Alec Finn,"Alexander J. Phinn (4 June 1944 – 16 November 2018), known professionally as Alec Finn, was a British-born traditional musician who is famous for his unique style of accompaniment on the bouzouki. He was best known for founding De Dannan in 1974 with Frankie Gavin, and Charlie Piggott, after a series of music sessions at, An Spidéal, Co. Galway.",TRUE,TRUE,,,
1216,FP_new,Aleksa_Buha,birthName,Aleksa Buha,,"Aleksa Buha (born 21 November 1939) is a Bosnian Serb philosopher and member of the Academy of Sciences and Arts of the Republika Srpska. During the 1990s, he was the minister of foreign affairs of Republika Srpska. Buha is also a member of the Senate of Republika Srpska. From 1996 until 1998, he was the President of the Serb Democratic Party.",TRUE,TRUE,,,
613,FP_new,Aleksandr_Ivanovsky,birthName,Aleksandr Ivanovsky,,"Aleksandr Ivanovsky (1881–1968) was a Russian screenwriter and film director who worked during the Soviet era. Ivanovsky was awarded the Stalin Prize in 1941, for his work on the 1940 film Musical Story. His 1944 operetta film Silva was one of the most popular releases in the Soviet Union that year.",TRUE,TRUE,,,
879,FP_new,Alexis_Corbi%C3%A8re,birthName,Alexis Corbière,,"Alexis Corbière (French pronunciation: ​[alɛksi kɔʁbjɛʁ]; born 17 August 1968) is a French politician. A member of La France Insoumise (FI), he has been member of the National Assembly for the 7th constituency of the Seine-Saint-Denis department since 2017. Corbière is also a spokesperson for La France Insoumise and the party's leader Jean-Luc Mélenchon in the 2017 French presidential election.",TRUE,TRUE,,,
1285,FP_new,Alfred_Hermann_Fried,birthName,Alfred Hermann Fried,,"Alfred Hermann Fried (German pronunciation: [ˈʔalfʁeːt ˈhɛʁman ˈfʁiːt]; 11 November 1864 – 4 May 1921) was an Austrian Jewish pacifist, publicist, journalist, co-founder of the German peace movement, and winner (with Tobias Asser) of the Nobel Peace Prize in 1911. Fried was also a supporter of Esperanto. He is the author of an Esperanto textbook and an Esperanto-German and German-Esperanto dictionary, first published in 1903 and republished in 1905.",TRUE,TRUE,,,
596,FP_new,Alfred_Hermann_Fried,deathDate,1921-05-04,,"Alfred Hermann Fried (German pronunciation: [ˈʔalfʁeːt ˈhɛʁman ˈfʁiːt]; 11 November 1864 – 4 May 1921) was an Austrian Jewish pacifist, publicist, journalist, co-founder of the German peace movement, and winner (with Tobias Asser) of the Nobel Peace Prize in 1911. Fried was also a supporter of Esperanto. He is the author of an Esperanto textbook and an Esperanto-German and German-Esperanto dictionary, first published in 1903 and republished in 1905.",TRUE,TRUE,,,
1781,FN,Alfredo_Cuadra_Tinajero,birthName,,Alfredo Sergio Cuadra Tinajero,Alfredo Sergio Cuadra Tinajero (born 17 August 1976) is a Mexican politician from the National Action Party. In 2012 he served as Deputy of the LXI Legislature of the Mexican Congress representing Nuevo León.,TRUE,TRUE,,,
491,FP_new,Algirdas_Brazauskas,birthName,Algirdas Mykolas Brazauskas,,"Algirdas Mykolas Brazauskas ([ˈɐ̂ˑlʲɡʲɪrdɐs ˈmʲîːkoːɫɐs brɐˈzɐ̂ˑʊskɐs], 22 September 1932 – 26 June 2010) was the first President (fourth overall) of a newly re-independent post-Soviet Lithuania from 1993 to 1998 and Prime Minister from 2001 to 2006. He also served as head of the Communist Party of Lithuania that broke with Moscow.",TRUE,TRUE,,,
189,FP_new,Alicia_Kirchner,birthName,Alicia Margarita Kirchner,,"Alicia Margarita Kirchner (born 18 July 1946) is an Argentine politician. She is the elder sister of the late former President Néstor Kirchner and served in his government as Minister of Social Development, a role which she held under President Cristina Fernández de Kirchner, her sister-in-law, until the end of her presidential term on 9 December 2015. On 10 December 2015, she was sworn in as the governor of the Province of Santa Cruz.",TRUE,TRUE,,,
0,FP_new,Allen_May,birthDate,1969-10-30,,"Allen May (born October 30, 1969 in Dallas, Texas) is an American racecar driver. He drove in the U.S. F2000 National Championship, and, in 1997 he started a single race in the Indy Racing League IndyCar Series for at Texas Motor Speedway where he crashed on lap 36 and was credited with 22nd place. He is also a former Formula Continental SCCA national champion.",TRUE,TRUE,,,
1,FP_new,Allen_May,birthYear,1969,,"Allen May (born October 30, 1969 in Dallas, Texas) is an American racecar driver. He drove in the U.S. F2000 National Championship, and, in 1997 he started a single race in the Indy Racing League IndyCar Series for at Texas Motor Speedway where he crashed on lap 36 and was credited with 22nd place. He is also a former Formula Continental SCCA national champion.",TRUE,TRUE,,,
13,FP_new,Alyaksandr_Valadzko,birthDate,1986-06-18,,"Alyaksandr Pawlavich Valadzko, also spelled sometimes as Aleksandr Pavlovich Volodko (Belarusian: Алякса́ндр Па́ўлавіч Валадзько́; Russian: Алекса́ндр Па́влович Володько́; Polish: Aleksander Wołodko; born 18 June 1986) is a Belarusian former footballer of Polish descent.",TRUE,TRUE,,,
1086,FP_new,Amrita_Chaudhry,birthName,Amrita Chaudhry,,"Amrita Chaudhry (26 June 1972 – 22 October 2012) was an Indian print media journalist working as Principal Correspondent with the newspaper The Indian Express. In her decade long career with the newspaper, Amrita earned wide recognition for her reporting on diverse issues in Punjab. Amrita died on 22 October 2012 after she met with an accident.",TRUE,TRUE,,,
72,FP_new,Ana_Arbiz%C3%BA_y_Flores,birthDate,1825-09-21,,"Ana Mateo Arbizú y Flores (21 September 1825 - 30 November 1903), also known as Ana Arbizú de Guardiola, was a Honduran poet, considered the first in her country.",FALSE,TRUE,,,
675,FP_new,Ana_Arbiz%C3%BA_y_Flores,birthName,Ana Mateo Arbizú y Flores,,"Ana Mateo Arbizú y Flores (21 September 1825 - 30 November 1903), also known as Ana Arbizú de Guardiola, was a Honduran poet, considered the first in her country.",TRUE,TRUE,,,
73,FP_new,Ana_Arbiz%C3%BA_y_Flores,deathDate,1903-11-30,,"Ana Mateo Arbizú y Flores (21 September 1825 - 30 November 1903), also known as Ana Arbizú de Guardiola, was a Honduran poet, considered the first in her country.",FALSE,TRUE,,,
2932,FP_new,Ana_Arbiz%C3%BA_y_Flores,label,Ana Mateo Arbizú y Flores,,"Ana Mateo Arbizú y Flores (21 September 1825 - 30 November 1903), also known as Ana Arbizú de Guardiola, was a Honduran poet, considered the first in her country.",TRUE,FALSE,LCE,,
310,FP_new,Ana_Elisa_Villanueva,birthName,Ana Elisa Aurora Villanueva,,"Ana Elisa Aurora Villanueva Callot (July 28, 1930 – April 5, 1998) was a Dominican politician and children's advocate. She served as First Lady of the Dominican Republic from July 4, 1982, to August 16, 1982, during the brief 43-day presidency of her husband, Jacobo Majluta. Villanueva was also the vice president of the Independent Revolutionary Party (PRI).",TRUE,FALSE,LCE,,
949,FP_new,Ana_Elisa_Villanueva,birthName,Ana Elisa Aurora Villanueva Callot,,"Ana Elisa Aurora Villanueva Callot (July 28, 1930 – April 5, 1998) was a Dominican politician and children's advocate. She served as First Lady of the Dominican Republic from July 4, 1982, to August 16, 1982, during the brief 43-day presidency of her husband, Jacobo Majluta. Villanueva was also the vice president of the Independent Revolutionary Party (PRI).",TRUE,TRUE,,,
5162,FP_new,Ana_Elisa_Villanueva,label,Ana Elisa Aurora Villanueva,,"Ana Elisa Aurora Villanueva Callot (July 28, 1930 – April 5, 1998) was a Dominican politician and children's advocate. She served as First Lady of the Dominican Republic from July 4, 1982, to August 16, 1982, during the brief 43-day presidency of her husband, Jacobo Majluta. Villanueva was also the vice president of the Independent Revolutionary Party (PRI).",TRUE,FALSE,LCE,,
184,FP_new,Andr%C3%A9s_Rodr%C3%ADguez_de_Villegas,birthYear,1580,,"Andrés Rodríguez de Villegas (1580–1631) was a Spanish soldier who served as governor and captain-general of the Province of Isla Margarita, Venezuela (1619–1626) and as governor of Spanish Florida (1630–1631).",TRUE,TRUE,,,
185,FP_new,Andr%C3%A9s_Rodr%C3%ADguez_de_Villegas,deathYear,1631,,"Andrés Rodríguez de Villegas (1580–1631) was a Spanish soldier who served as governor and captain-general of the Province of Isla Margarita, Venezuela (1619–1626) and as governor of Spanish Florida (1630–1631).",TRUE,TRUE,,,
4517,FP_new,Andrea_Vendramin,birthDate,1393-03-05,,"Andrea Vendramin (1393 – May 5, 1478, both Venice) served as Doge of Venice, 1476–78, at the height of Venetian power, the only member of the Vendramin family to do so. His mother, Maria Michiel, and his wife Regina Gradenigo, both came from Dogal families. He had served as Venetian Procurator in Rome, and his brief reign was largely concerned with the end of the Second Turkish–Venetian War. He probably died of plague. He was interred in the Basilica di San Giovanni e Paolo, a traditional burial place of the doges. After Andrea's death, his widow married his brother, Luca.",FALSE,FALSE,AC,,
2457,FP_new,Andrea_Vendramin,birthYear,1393,,"Andrea Vendramin (1393 – May 5, 1478, both Venice) served as Doge of Venice, 1476–78, at the height of Venetian power, the only member of the Vendramin family to do so. His mother, Maria Michiel, and his wife Regina Gradenigo, both came from Dogal families. He had served as Venetian Procurator in Rome, and his brief reign was largely concerned with the end of the Second Turkish–Venetian War. He probably died of plague. He was interred in the Basilica di San Giovanni e Paolo, a traditional burial place of the doges. After Andrea's death, his widow married his brother, Luca.",TRUE,TRUE,,,
128,FP_new,Andrea_Vendramin,deathDate,1478-05-05,,"Andrea Vendramin (1393 – May 5, 1478, both Venice) served as Doge of Venice, 1476–78, at the height of Venetian power, the only member of the Vendramin family to do so. His mother, Maria Michiel, and his wife Regina Gradenigo, both came from Dogal families. He had served as Venetian Procurator in Rome, and his brief reign was largely concerned with the end of the Second Turkish–Venetian War. He probably died of plague. He was interred in the Basilica di San Giovanni e Paolo, a traditional burial place of the doges. After Andrea's death, his widow married his brother, Luca.",TRUE,TRUE,,,
129,FP_new,Andrea_Vendramin,deathYear,1478,,"Andrea Vendramin (1393 – May 5, 1478, both Venice) served as Doge of Venice, 1476–78, at the height of Venetian power, the only member of the Vendramin family to do so. His mother, Maria Michiel, and his wife Regina Gradenigo, both came from Dogal families. He had served as Venetian Procurator in Rome, and his brief reign was largely concerned with the end of the Second Turkish–Venetian War. He probably died of plague. He was interred in the Basilica di San Giovanni e Paolo, a traditional burial place of the doges. After Andrea's death, his widow married his brother, Luca.",TRUE,TRUE,,,
1400,FP_new,Andrew_Mishkin,birthYear,1958,,"Andrew Mishkin (born c. 1958, in Los Angeles) is a senior systems engineer at the Jet Propulsion Laboratory, where he coordinated the development of various robotic vehicles and their subsystems for more than 15 years. He was on the Sojourner rover team at its formation, eventually leading the team and commanding the rover during its exploration of Mars. In 1997 he received the NASA Exceptional Achievement Medal and was also selected as one of ""The 35 People Who Made the Year"" in the December issue of Vanity Fair magazine. He then was a Mission Operations System Development Manager on Mars Exploration Rover mission.",TRUE,TRUE,,,
542,FP_new,Angelo_Baroni,birthYear,1553,,Angelo Baroni (1553 – November 1612) was a Roman Catholic prelate who served as Bishop of Chioggia (1611–1612) and Bishop of Kotor (1604–1611).,TRUE,TRUE,,,
1766,FP_new,Angelo_Baroni,deathDate,1612-11-12,,Angelo Baroni (1553 – November 1612) was a Roman Catholic prelate who served as Bishop of Chioggia (1611–1612) and Bishop of Kotor (1604–1611).,FALSE,FALSE,AC,,
543,FP_new,Angelo_Baroni,deathYear,1612,,Angelo Baroni (1553 – November 1612) was a Roman Catholic prelate who served as Bishop of Chioggia (1611–1612) and Bishop of Kotor (1604–1611).,TRUE,TRUE,,,
457,FP_new,Anjelica_Bette_Fellini,birthName,Anjelica Bette Fellini,,"Anjelica Bette Fellini (born November 26, 1994) is an American actress known for her role as Rebecca Hoover (Twist) in The Gifted (2018) and as Blair Wesley in the Netflix teen comedy-drama television series Teenage Bounty Hunters in 2020.",TRUE,TRUE,,,
175,FP_new,Anke_Karstens,label,Anke Wöhrer,,"Anke Wöhrer (also spelled Woehrer, née Karstens; born 13 October 1985, in Berchtesgaden) is a German snowboarder. She participated at the 2014 Winter Olympics and 2018 Winter Olympics, earning the silver medal in the women's parallel slalom event in 2014.",TRUE,FALSE,WV,,
1978,FP_new,Anke_Karstens,label,Anke Karstens,,"Anke Wöhrer (also spelled Woehrer, née Karstens; born 13 October 1985, in Berchtesgaden) is a German snowboarder. She participated at the 2014 Winter Olympics and 2018 Winter Olympics, earning the silver medal in the women's parallel slalom event in 2014.",TRUE,TRUE,,,
186,FN,Anna_Linhartov%C3%A1,birthName,,Anna Linhartová,"Anna Linhartová (born 21 March 1994) is a Czech actress. She was nominated in the category of Best Supporting Actress at the 2011 Czech Lion Awards, for her performance in the film Innocence. She has also had roles in television series including Případy 1. oddělení and Život je ples. The daughter of Czech actress, she got married at the age of 23 in June 2017.",TRUE,TRUE,,,
944,FP_new,Anne_Belle_Stone,birthName,Anna Belle Stone,,Anne Belle Stone or Anna Belle Stone (1874–1949) was an American artist known for her floral still-lifes. She was one of the founders of the Women Painters of Washington.,TRUE,TRUE,,,
306,FP_new,Anne_Belle_Stone,birthYear,1874,,Anne Belle Stone or Anna Belle Stone (1874–1949) was an American artist known for her floral still-lifes. She was one of the founders of the Women Painters of Washington.,TRUE,TRUE,,,
307,FP_new,Anne_Belle_Stone,deathYear,1949,,Anne Belle Stone or Anna Belle Stone (1874–1949) was an American artist known for her floral still-lifes. She was one of the founders of the Women Painters of Washington.,TRUE,TRUE,,,
952,FP_new,Anthony_Cellier,birthName,Anthony Cellier,,"Anthony Cellier (born 1 June 1975) is a French politician representing La République En Marche! He was elected to the French National Assembly on 18 June 2017, representing the department of Gard.",TRUE,TRUE,,,
378,FP_new,Antoine_B%C3%A9cl%C3%A8re,birthName,Antoine Louis Gustave Béclère,,"Antoine Louis Gustave Béclère (17 March 1856, Paris - 24 February 1939), virologist, immunologist, was a pioneer in radiology. In 1897 he created the first laboratory of radiology in Paris.",TRUE,TRUE,,,
